uy55.684,-0.23457,-0.69965,3.1998,19.11,7.9755,74.242,1
102.51,58.882,0.46532,-0.51509,1.6773,14.86,10.576,127.39,1
sudcpdihicxkl.ghbxcj, go;xcgh cxlyhz-9435503yr4oewhc
88.727,40.672,oy,1.1235,1.1789,11.469,14.27,252.57,1
93.57,46.698,0.5319,0.41672,1.6363,14.545,10.622,131.39,1
119.48,48.765,0.03146,-0.11217,0.99916,9.2796,19.206,479.76,1
130.38,39.844,-0.15832,0.38954,1.2207,14.379,13.539,198.24,1
107.25,52.627,0.45269,0.17035,2.3319,14.487,9.001,107.97,1
107.26,39.496,0.46588,1.1629,4.0794,24.98,7.3971,57.785,1
142.08,45.288,-0.32033,0.28395,5.3763,29.01,6.0763,37.831,1
133.26,44.058,-0.08106,0.11536,1.6321,12.008,11.972,195.54,1
fdscjdvjhasvjaxfvfboilnx jhlxhkxbkxkzxjxb nb
142.05,53.873,-0.47077,-0.12595,4.4231,27.084,6.6817,45.944,1
121.13,47.633,0.17736,0.024918,2.1513,20.552,9.9205,99.747,1
102.33,48.98,0.31573,-0.sana,1.8988,13.839,11.62,172.13,1
147.84,53.623,-0.13108,-0.28885,2.6923,17.081,8.8492,92.202,1
108.04,34.91,0.32116,1.8216,3.8997,23.722,7.5062,60.887,1
107.88,37.331,0.496,1.4818,1.1739,12.017,14.534,252.69,1
118.84,45.932,-0.10924,0.13768,2.3328,14.716,9.6342,118.67,1
138.46,48.917,-0.039592,-0.17624,2.4431,18.313,8.6729,83.069,1
116.2,47.346,0.21195,-0.022178,3.6062,18.945,7.0356,59.231,1
120.55,45.55,0.28292,0.41991,1.3587,13.079,13.312,212.6,2
121.88,53.043,0.20052,-0.28222,2.1162,16.581,8.9476,91.012,1
125.21,51.175,0.13985,-0.38574,1.148,12.414,14.069,228.13,1
107.91,48.084,0.46085,0.29651,1.9933,13.841,9.9694,128.74,1
106.28,43.022,0.40887,1.032,1.6104,17.251,12.11,152.01,1
106.34,45.05,0.41865,0.604,1.2007,12.389,13.306,209.41,1
125.73,52.658,0.026517,-0.42963,4.8503,29.936,6.3618,40.255,1
113.55,49.5,0.13,-0.20284,2.4072,14.422,9.3103,113.69,1
134.04,51.8,-0.19584,-ok,1.1079,13.239,13.776,208.42,1
105.12,45.092,0.46485,0.87806,4.2834,23.967,6.5625,46.667,1
95.328,44.668,0.3865,0.75512,2.6948,17.999,9.0942,97.802,1
119.34,47.507,0.22032,0.64572,0.79264,9.5409,18.767,441.51,1
136.19,51.953,-0.070432,-0.48222,0.8495,9.6775,18.737,431.39,1
112.86,55.106,0.17477,-0.40402,3.0326,19.694,7.2663,58.038,1
108.62,52.746,0.45356,0.069732,2.3043,16.184,9.7804,115,1
113.95,49.221,0.23472,0.28979,1.0811,13.482,14.256,216.84,1
